"","GS","ar1","ma1","lat","long","loglike","phi","phylum","kingdom","maxh"
"536","Galaxias vulgaris",0.990047447983706,0.995898102142738,-43,172,0.310671601200312,27.5495345943853,"Chordata","Metazoa",NA
"537","Gastroclonium clavatum",0.480575464657297,0.409019801857514,43,10,0.310671601200312,0.015675415478707,"Rhodophyta",NA,NA
"538","Gastropus hyptopus",0.302198741880801,0.997103228723732,46,-90,0.310671601200312,0.016237478205419,NA,NA,NA
"539","Gastropus hyptopus",0.426053205140537,0.998372116633678,46,-90,0.310671601200312,0.183141463022656,NA,NA,NA
"540","Gelechia muscosella",0.870812859203205,0.999977259740715,56,13,0.310671601200312,-0.0673791451854915,"Arthropoda","Metazoa",NA
"541","Gephyrocapsa oceanica",0.36003916929852,0.351511446213327,-38,145,0.310671601200312,0.777891253127564,"Haptophyta",NA,NA
"542","Glaucomys volans",0.887173701048871,0.999994958097149,40,-79,0.310671601200312,0.0295367623562698,"Chordata","Metazoa",NA
"543","Glaucomys volans",0.578135337407525,0.999999037650812,40,-79,26.7842756776859,-0.0565202571940276,"Chordata","Metazoa",NA
"544","Glaucomys volans",-0.898785778605418,-0.998574176821745,40,-79,10.5339314852488,-0.302729456909597,"Chordata","Metazoa",NA
"545","Glaucomys volans",0.714851082402369,0.999729309455023,40,-79,0.310671601200312,0.0607500991276542,"Chordata","Metazoa",NA
"546","Glaucomys volans",0.436021347696245,0.409931888246608,40,-79,0.310671601200312,0.244539478080244,"Chordata","Metazoa",NA
"547","Glaucomys volans",0.651987305192015,0.756802846272017,40,-79,26.295709035668,0.641896953321191,"Chordata","Metazoa",NA
"548","Glaucomys volans",0.580015211615957,0.999920698875577,40,-79,0.310671601200312,0.0342042527796471,"Chordata","Metazoa",NA
"549","Glaucomys volans",-0.730201982346666,-0.999990365071135,40,-79,16.2233315537586,0.11733646136795,"Chordata","Metazoa",NA
"550","Gobiomorphus breviceps",0.878692964508711,0.999963082165399,-40,176,0.310671601200312,-0.262482864123784,"Chordata","Metazoa",NA
"551","Gobiomorphus breviceps",-0.0111136850719378,-0.0101550617834924,-44,172,0.310671601200312,-0.0477524112062598,"Chordata","Metazoa",NA
"552","Gobiomorphus breviceps",0.573380388528486,0.8553882267349,-43,172,0.310671601200312,0.193439147230179,"Chordata","Metazoa",NA
"553","Gobiomorphus breviceps",0.901857099021708,0.995848155978389,-45,171,0.310671601200312,-0.517458393071009,"Chordata","Metazoa",NA
"554","Gobiomorphus cotidianus",-0.987300474049091,-0.995340014433443,-40,177,0.310671601200312,-1.1596634392442,"Chordata","Metazoa",NA
"555","Gobiomorphus cotidianus",-0.595939948127064,-0.819142333007832,-37,175,0.310671601200312,0.196060600023242,"Chordata","Metazoa",NA
"556","Gobiomorphus cotidianus",0.947926834728941,0.999587710909172,-40,176,0.310671601200312,0.00199128691520145,"Chordata","Metazoa",NA
"557","Gobiomorphus huttoni",0.86877948536359,0.999993682781591,-43,171,0.310671601200312,0.409003168814912,"Chordata","Metazoa",NA
"558","Gobiomorphus huttoni",0.734864451001285,0.999995603922315,-41,175,0.310671601200312,0.368683435102902,"Chordata","Metazoa",NA
"559","Gobiomorphus sp",0.833876916446782,0.999999431433714,-39,174,0.310671601200312,0.190473211912324,NA,NA,NA
"560","Gracillaria syringella",0.688249072595165,0.694651456143806,56,13,0.310671601200312,2.82963807913469,"Arthropoda","Metazoa",NA
"561","Gymnodiniaceae ",0.568170310683361,0.999999498673319,-36,148,0.310671601200312,0.688141164016781,NA,NA,NA
"562","Gymnodinium sp",-0.556087758670248,-0.999998934641245,-29,154,0.310671601200312,-1.09760112441159,NA,NA,NA
"563","Gypsonoma dealbana",0.2746321295665,0.301715878148042,56,13,0.310671601200312,0.00176172424768784,"Arthropoda","Metazoa",NA
"564","Halyzia sedecimpunctata",0.3951526427777,0.402247446084696,56,13,0.310671601200312,0.758231740346704,"Arthropoda","Metazoa",NA
"565","Harmonia axyridis",0.374546905994651,0.281831317114567,42,-85,0.310671601200312,0.466322851633386,"Arthropoda","Metazoa",NA
"566","Harmonia axyridis",0.388197709525099,0.348387346344396,42,-85,0.310671601200312,0.595892874091448,"Arthropoda","Metazoa",NA
"567","Harmonia axyridis",0.652933356475555,0.563935813797066,42,-85,0.310671601200312,0.812346617652738,"Arthropoda","Metazoa",NA
"568","Harmonia axyridis",0.472689958504819,0.413653158453547,42,-85,0.310671601200312,0.462823549242239,"Arthropoda","Metazoa",NA
